participant,has_aware,has_screen,has_calls,has_messages,has_notifications,has_oura,has_watch,has_ema,has_ucla_end,sensor_days
Participant_1,1,1,1,0,0,1,1,1,1,36.0
Participant_10,1,1,1,0,0,1,1,1,1,33.0
Participant_11,0,0,0,0,0,1,1,1,1,33.0
Participant_12,1,1,1,1,1,1,1,1,1,39.0
Participant_13,1,1,1,0,0,1,1,1,1,32.0
Participant_15,1,0,1,0,0,1,1,1,1,118.0
Participant_16,1,1,0,1,1,1,1,1,1,32.0
Participant_17,1,1,1,0,0,1,1,1,1,37.0
Participant_18,1,1,1,0,0,1,1,1,1,32.0
Participant_19,1,1,0,1,1,1,1,1,1,36.0
Participant_2,1,1,1,0,0,1,1,1,1,41.0
Participant_20,1,1,0,0,0,1,1,1,1,37.0
Participant_21,1,1,0,1,1,1,1,1,1,37.0
Participant_22,1,1,1,0,0,1,1,1,1,40.0
Participant_23,1,1,1,0,0,1,1,1,1,32.0
Participant_24,1,1,1,0,0,1,1,1,1,25.0
Participant_25,1,1,0,0,0,0,1,1,1,22.0
Participant_26,0,0,0,0,0,1,1,1,1,12.0
Participant_27,1,1,0,0,0,1,1,1,1,32.0
Participant_28,1,1,0,0,1,1,1,1,1,39.0
Participant_29,1,1,1,0,0,1,1,1,1,37.0
Participant_3,1,1,1,0,0,1,1,1,1,39.0
Participant_31,1,1,1,0,0,1,1,1,1,52.0
Participant_32,1,1,0,1,0,1,1,1,1,31.0
Participant_36,1,1,0,1,1,1,1,1,1,33.0
Participant_38,1,1,1,0,0,1,1,1,1,50.0
Participant_39,1,1,1,0,0,1,1,1,1,31.0
Participant_40,1,1,1,0,0,1,1,1,1,48.0
Participant_41,1,1,1,1,1,1,1,1,1,42.0
Participant_42,0,0,0,0,0,1,1,1,1,31.0
Participant_43,1,1,0,1,1,1,1,1,1,32.0
Participant_44,1,1,0,1,0,1,1,1,1,31.0
Participant_45,1,1,1,0,0,1,1,1,1,349.0
Participant_46,1,1,0,0,1,1,1,1,1,35.0
Participant_5,1,1,1,1,1,1,1,1,1,36.0
Participant_6,1,1,0,1,1,1,1,1,1,34.0
Participant_7,1,1,0,1,1,1,1,1,1,34.0
Participant_8,1,1,1,1,0,1,1,1,1,35.0
Participant_9,1,1,1,0,0,1,1,1,1,46.0
