feature,importance
ema_positive_mean,0.14417999193227474
oura_sleep_rmssd,0.08019385370173021
ema_lonely_mean,0.07779909082404891
ema_negative_mean,0.0741569603277003
ema_connect_mean,0.05760412974543889
ema_isolate_mean,0.04930043794735454
screen_event_count,0.046283942038363654
oura_activity_score,0.04394623296874751
watch_hr_std,0.03769183482017889
oura_sleep_score,0.036643122797950844
oura_sleep_efficiency,0.036247253270925366
oura_hrv_balance,0.0310374386890327
oura_sleep_hr_average,0.02922477619090499
days_with_any_sensor_data,0.027350145077673096
oura_steps,0.025123851444384317
oura_readiness_score,0.02486056575595674
watch_movement_intensity,0.02440063776110142
phq9_latest_total,0.02142779359760058
call_duration_sec,0.01942543233858646
ema_days,0.018387627507216942
oura_sleep_duration,0.016988426456637208
missed_call_count,0.016454193053042816
screen_on_minutes,0.014041885645495104
watch_avg_heart_rate,0.00928847682588909
pss_end_total,0.008950105078098574
notification_count,0.008613664608728266
messages_received,0.007381473635400268
call_count,0.007217717638539551
messages_sent,0.005778938320997944
message_count,7.302794895209918e-18
